scenario,strategy,seed,total_visits,gini,entropy,hotspot_pct,economic_impact,profile_consistency
crowd_averse,popularity,42,29824,0.8206161331664282,2.823050167518206,0.4399476931330472,374937.7,0.6
crowd_averse,popularity,7,29807,0.8205170858448612,2.8205272913685806,0.4424464052068306,377346.9,1.0
crowd_averse,popularity,99,29809,0.8179926084963154,2.8399787685217524,0.4347344761649166,370310.1,0.2
crowd_averse,popularity,123,29825,0.8208209928285368,2.819477254887996,0.4427493713327745,377637.6,0.0
crowd_averse,interest_based,42,25865,0.3285784092617651,4.080999222447084,0.0910496810361492,161846.30000000002,1.0
crowd_averse,interest_based,7,25903,0.3306550721280675,4.080639244401781,0.0948924834961201,164964.3,1.0
crowd_averse,interest_based,99,25725,0.3246793002915452,4.084891145673332,0.0943051506316812,164895.4,1.0
crowd_averse,interest_based,123,25804,0.3283093491103877,4.082149598265433,0.0937064021082002,166803.1,0.0
crowd_averse,sustainability,42,28207,0.3912971760358933,3.99338524028149,0.0466905378097635,134352.9,1.0
crowd_averse,sustainability,7,28194,0.3896908719743365,3.995655521469458,0.0468184720153224,136904.9,1.0
crowd_averse,sustainability,99,28213,0.3834151514077434,4.004397211903512,0.0465742742707262,137048.4,1.0
crowd_averse,sustainability,123,28206,0.3868424369913414,4.0003475697520425,0.0470112741969793,138479.2,0.0
budget_backpacker,popularity,42,29787,0.8365632099014111,2.746305328009992,0.0421996172827072,31717.1,0.0
budget_backpacker,popularity,7,29776,0.8361292092065198,2.7516702657894645,0.0422152068780225,32470.9,0.0
budget_backpacker,popularity,99,29765,0.835125613602852,2.754354720530474,0.0422308079959684,31644.9,0.5
budget_backpacker,popularity,123,29758,0.8347605872557147,2.759319007015152,0.0422407419853484,31765.7,0.0
budget_backpacker,interest_based,42,24720,0.5192118392664509,3.73343314909803,0.0425970873786407,36835.7,0.6
budget_backpacker,interest_based,7,24735,0.5137676032612357,3.738808259682551,0.0439458257529816,37917.1,1.0
budget_backpacker,interest_based,99,24552,0.5136230132869918,3.7382981502839545,0.0436217008797654,36588.600000000006,0.5
